function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_clock_getres	c:@F@p101_clock_getres	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	clock_getres	c:@F@clock_getres
p101_clock_gettime	c:@F@p101_clock_gettime	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	clock_gettime	c:@F@clock_gettime
p101_clock_settime	c:@F@p101_clock_settime	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	clock_settime	c:@F@clock_settime
p101_gmtime_r	c:@F@p101_gmtime_r	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	gmtime_r	c:@F@gmtime_r
p101_localtime_r	c:@F@p101_localtime_r	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	localtime_r	c:@F@localtime_r
p101_nanosleep	c:@F@p101_nanosleep	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	nanosleep	c:@F@nanosleep
p101_strftime_l	c:@F@p101_strftime_l	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	strftime_l	c:@F@strftime_l
p101_strptime	c:@F@p101_strptime	XSI	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix_xsi/src/time.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_time.h	yes	yes	yes	strptime	c:@F@strptime
p101_tzset	c:@F@p101_tzset	POSIX	libraries/lib_time/src/time.c	libraries/lib_time/include/p101_time/p101_time.h	libraries/lib_posix/src/time.c	libraries/lib_posix/include/p101_posix/p101_time.h	yes	yes	yes	tzset	c:@F@tzset
